ent,mun,Sexo,Estatus_Laboral,Total_Personas
30,161.0,Hombre,Trabaja,20280
30,161.0,Mujer,Trabaja,2340
30,167.0,Hombre,Trabaja,18860
30,167.0,Mujer,Trabaja,2829
30,169.0,Hombre,Trabaja,14467
30,169.0,Mujer,Trabaja,6808
30,173.0,Hombre,No Trabaja (Desocupado),1159
30,173.0,Hombre,Trabaja,28819
30,173.0,Mujer,Trabaja,11832
30,174.0,Hombre,No Trabaja (Desocupado),744
30,174.0,Hombre,Trabaja,36936
30,174.0,Mujer,No Trabaja (Desocupado),1632
30,174.0,Mujer,Trabaja,17811
30,175.0,Hombre,Trabaja,15341
30,175.0,Mujer,Trabaja,16206
30,178.0,Hombre,No Trabaja (Desocupado),1193
30,178.0,Hombre,Trabaja,20202
30,178.0,Mujer,Trabaja,10184
30,182.0,Hombre,Trabaja,5078
30,182.0,Mujer,Trabaja,7617
30,183.0,Hombre,No Trabaja (Desocupado),405
30,183.0,Hombre,Trabaja,35668
30,183.0,Mujer,Trabaja,20231
30,189.0,Hombre,No Trabaja (Desocupado),2184
30,189.0,Hombre,Trabaja,24211
30,189.0,Mujer,Trabaja,42794
30,193.0,Hombre,No Trabaja (Desocupado),3544
30,193.0,Hombre,Trabaja,143528
30,193.0,Mujer,No Trabaja (Desocupado),3153
30,193.0,Mujer,Trabaja,110751
30,196.0,Hombre,Trabaja,11064
30,196.0,Mujer,No Trabaja (Desocupado),922
30,196.0,Mujer,Trabaja,12908
30,201.0,Hombre,Trabaja,12857
30,201.0,Mujer,Trabaja,4945
30,204.0,Hombre,No Trabaja (Desocupado),440
30,204.0,Hombre,Trabaja,9680
30,204.0,Mujer,No Trabaja (Desocupado),440
30,204.0,Mujer,Trabaja,4840
30,205.0,Hombre,Trabaja,2730
30,205.0,Mujer,Trabaja,3510
30,207.0,Hombre,Trabaja,16281
30,207.0,Mujer,Trabaja,6268
30,208.0,Hombre,Trabaja,11620
30,208.0,Mujer,Trabaja,1660
30,211.0,Hombre,Trabaja,10621
30,211.0,Mujer,Trabaja,2451
